,DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
74,2/9/24,13:21:57,TRD,1000198966669.0,SOLD -1 AMD 100 16 FEB 24 160 PUT @.40 CBOE,-0.01,-0.65,40.00,"40,233.12"
75,2/9/24,13:28:21,TRD,1000198966695.0,SOLD -1 AMZN 100 16 FEB 24 167.5 PUT @.28 CBOE,-0.01,-0.65,28.00,"40,260.46"
76,2/9/24,13:29:37,TRD,1000198966706.0,SOLD -1 MU 100 16 FEB 24 80 PUT @.20 PHLX,-0.01,-0.65,20.00,"40,279.80"
82,2/14/24,14:46:47,TRD,1000198966670.0,BOT +1 AMD 100 16 FEB 24 160 PUT @.04 CBOE,-0.01,,-4.00,"40,275.79"
84,2/15/24,08:54:25,TRD,1000212770905.0,SOLD -1 AMD 100 (Weeklys) 23 FEB 24 165 PUT @1.60 CBOE,-0.01,-0.65,160.00,"40,435.13"
87,2/16/24,11:31:42,TRD,1000217730201.0,BOT +1 MANU 100 16 FEB 24 18 PUT @.12 CBOE,-0.01,-0.65,-12.00,"40,437.66"
88,2/16/24,11:31:51,TRD,1000217730201.0,BOT +1 MANU 100 16 FEB 24 18 PUT @.12 CBOE,-0.01,-0.65,-12.00,"40,425.00"
89,2/16/24,12:17:40,TRD,1000198966696.0,BOT +1 AMZN 100 16 FEB 24 167.5 PUT @.03,-0.01,,-3.00,"40,421.99"
90,2/16/24,12:20:56,TRD,1000219094006.0,SOLD -1 TTD 100 (Weeklys) 23 FEB 24 84 PUT @.51 CBOE,-0.01,-0.65,51.00,"40,472.33"
91,2/16/24,14:36:23,TRD,1000219094748.0,SOLD -1 DIAGONAL MU 100 (Weeklys) 23 FEB 24/16 FEB 24 79/80 PUT @.90 CBOE,-0.02,-1.3,90.00,"40,561.01"
92,2/16/24,14:41:32,TRD,1000219094789.0,SOLD -1 TTD 100 (Weeklys) 23 FEB 24 83 PUT @.46 CBOE,-0.01,-0.65,46.00,"40,606.35"
99,2/22/24,08:45:22,TRD,1000212770906.0,BOT +1 AMD 100 (Weeklys) 23 FEB 24 165 PUT @.15 CBOE,-0.01,-0.65,-15.00,"40,590.69"
100,2/22/24,08:53:36,TRD,1000231104565.0,BOT +1 MU 100 (Weeklys) 23 FEB 24 79 PUT @.04 BOX,-0.01,,-4.00,"40,586.68"
102,2/23/24,10:09:08,TRD,1000236356309.0,SOLD -1 DDOG 100 (Weeklys) 1 MAR 24 123 PUT @.50 CBOE,-0.01,-0.65,50.00,"40,636.02"
103,2/23/24,10:15:13,TRD,1000236356444.0,SOLD -1 GOOGL 100 (Weeklys) 1 MAR 24 139 PUT @.36 CBOE,-0.01,-0.65,36.00,"40,671.36"
104,2/23/24,14:42:59,TRD,1000237982017.0,SOLD -1 CALENDAR TTD 100 (Weeklys) 1 MAR 24/23 FEB 24 84 PUT @.46 CBOE,-0.02,-1.3,46.00,"40,716.04"
105,2/23/24,14:45:18,TRD,1000237982061.0,SOLD -1 CALENDAR TTD 100 (Weeklys) 1 MAR 24/23 FEB 24 83 PUT @1.00 CBOE,-0.02,-1.3,100.00,"40,814.72"
112,2/29/24,08:34:50,TRD,1000236356310.0,BOT +1 DDOG 100 (Weeklys) 1 MAR 24 123 PUT @.05 CBOE,-0.01,,-5.00,"40,809.71"
113,2/29/24,12:29:24,TRD,1000241126524.0,BOT +1 TTD 100 (Weeklys) 1 MAR 24 83 PUT @.10 CBOE,-0.01,-0.65,-10.00,"40,799.05"
115,3/1/24,10:00:30,TRD,1000257981220.0,SOLD -1 AMD 100 (Weeklys) 8 MAR 24 180 PUT @.71 CBOE,-0.01,-0.65,71.00,"40,869.39"
116,3/1/24,10:17:22,TRD,1000257981515.0,SOLD -1 W 100 (Weeklys) 8 MAR 24 55 PUT @.45,-0.01,-0.65,45.00,"40,913.73"
117,3/1/24,13:41:42,TRD,1000259301138.0,SOLD -1 DIAGONAL TTD 100 (Weeklys) 8 MAR 24/1 MAR 24 83/84 PUT @.87 CBOE,-0.02,-1.3,87.00,"40,999.41"
118,3/1/24,13:42:29,TRD,1000259301147.0,SOLD -1 DIAGONAL GOOGL 100 (Weeklys) 8 MAR 24/1 MAR 24 138/139 PUT @.64 ISE,-0.02,-1.3,64.00,"41,062.09"
124,3/6/24,08:30:00,TRD,1000257981221.0,BOT +1 AMD 100 (Weeklys) 8 MAR 24 180 PUT @.06 CBOE,-0.01,-0.65,-6.00,"41,055.43"
128,3/7/24,09:02:33,TRD,1000280997124.0,SOLD -1 ANF 100 15 MAR 24 125 PUT @.96 CBOE,-0.01,-0.65,96.00,"27,350.77"
129,3/7/24,09:18:48,TRD,1000280997623.0,SOLD -1 W 100 15 MAR 24 55 PUT @.63 CBOE,-0.01,-0.65,63.00,"27,413.11"
130,3/7/24,14:58:57,TRD,1000257981516.0,BOT +1 W 100 (Weeklys) 8 MAR 24 55 PUT @.04 CBOE,-0.01,,-4.00,"27,409.10"
132,3/8/24,09:15:11,TRD,1000286142498.0,SOLD -1 GOOGL 100 15 MAR 24 138 CALL @1.75 CBOE,-0.01,-0.65,175.00,"27,583.44"
133,3/8/24,09:29:58,TRD,1000286142809.0,BOT +1 TTD 100 (Weeklys) 8 MAR 24 83 PUT @.30 NASDAQ,-0.01,-0.65,-30.00,"27,552.78"
134,3/8/24,11:57:48,TRD,1000287887306.0,SOLD -1 W 100 15 MAR 24 55 PUT @.32 PHLX,-0.01,-0.65,32.00,"27,584.12"
135,3/8/24,11:57:48,TRD,1000287887306.0,SOLD -1 W 100 15 MAR 24 55 PUT @.32 PHLX,-0.02,-0.65,32.00,"27,615.45"
141,3/13/24,08:30:10,TRD,1000280997624.0,BOT +1 W 100 15 MAR 24 55 PUT @.05,-0.01,,-5.00,"27,610.44"
142,3/13/24,08:34:49,TRD,1000287887307.0,BOT +1 W 100 15 MAR 24 55 PUT @.03 CBOE,-0.01,,-3.00,"27,607.43"
143,3/13/24,08:37:15,TRD,1000287887307.0,BOT +1 W 100 15 MAR 24 55 PUT @.03 CBOE,-0.01,,-3.00,"27,604.42"
144,3/13/24,09:47:11,TRD,1000301410758.0,SOLD -1 W 100 (Weeklys) 22 MAR 24 56 PUT @.30,-0.01,-0.65,30.00,"27,633.76"
145,3/13/24,09:47:11,TRD,1000301410758.0,SOLD -1 W 100 (Weeklys) 22 MAR 24 56 PUT @.30,-0.02,-0.65,30.00,"27,663.09"
146,3/13/24,09:51:49,TRD,1000301410798.0,SOLD -1 PYPL 100 (Weeklys) 22 MAR 24 59 PUT @.33,-0.01,-0.65,33.00,"27,695.43"
147,3/13/24,09:51:49,TRD,1000301410798.0,SOLD -1 PYPL 100 (Weeklys) 22 MAR 24 59 PUT @.33,-0.02,-0.65,33.00,"27,727.76"
148,3/13/24,10:22:55,TRD,1000301410938.0,SOLD -1 DIAGONAL ANF 100 (Weeklys) 22 MAR 24/15 MAR 24 124/125 PUT @1.00 CBOE,-0.02,-1.3,100.00,"27,826.44"
157,3/18/24,10:49:42,TRD,1000314621709.0,SOLD -2 W 100 (Weeklys) 22 MAR 24 56 PUT @.42 CBOE,-0.03,-1.3,84.00,"41,722.15"
160,3/20/24,08:30:01,TRD,1000301410799.0,BOT +1 PYPL 100 (Weeklys) 22 MAR 24 59 PUT @.03 CBOE,-0.01,,-3.00,"41,719.14"
161,3/20/24,08:36:49,TRD,1000301410799.0,BOT +1 PYPL 100 (Weeklys) 22 MAR 24 59 PUT @.03 CBOE,-0.01,,-3.00,"41,716.13"
162,3/20/24,13:55:14,TRD,1000314621710.0,BOT +2 W 100 (Weeklys) 22 MAR 24 56 PUT @.04 CBOE,-0.02,,-8.00,"41,708.11"
163,3/20/24,14:10:01,TRD,1000301410759.0,BOT +2 W 100 (Weeklys) 22 MAR 24 56 PUT @.03 CBOE,-0.02,,-6.00,"41,702.09"
164,3/20/24,14:41:39,TRD,1000314621555.0,BOT +1 ANF 100 (Weeklys) 22 MAR 24 124 PUT @.10 CBOE,-0.01,-0.65,-10.00,"41,691.43"
165,3/20/24,14:51:17,TRD,1000324218019.0,SOLD -1 MU 100 (Weeklys) 22 MAR 24 85 PUT @.80 CBOE,-0.01,-0.65,80.00,"41,770.77"
167,3/21/24,08:30:14,TRD,1000324218020.0,BOT +1 MU 100 (Weeklys) 22 MAR 24 85 PUT @.01 CBOE,-0.01,,-1.00,"41,769.76"
168,3/21/24,10:00:21,TRD,1000326733825.0,SOLD -2 W 100 (Quarterlys) 28 MAR 24 60 PUT @.36 CBOE,-0.03,-1.3,72.00,"41,840.43"
169,3/21/24,10:02:03,TRD,1000326733859.0,SOLD -1 W 100 (Quarterlys) 28 MAR 24 61 PUT @.54 CBOE,-0.01,-0.65,54.00,"41,893.77"
170,3/21/24,10:02:03,TRD,1000326733859.0,SOLD -1 W 100 (Quarterlys) 28 MAR 24 61 PUT @.54 CBOE,-0.02,-0.65,54.00,"41,947.10"
171,3/21/24,11:34:32,TRD,1000326733826.0,BOT +2 W 100 (Quarterlys) 28 MAR 24 60 PUT @.36,-0.02,-1.3,-72.00,"41,873.78"
172,3/21/24,11:38:42,TRD,1000327503298.0,SOLD -1 W 100 (Quarterlys) 28 MAR 24 60 PUT @.36 CBOE,-0.01,-0.65,36.00,"41,909.12"
173,3/21/24,11:38:42,TRD,1000327503298.0,SOLD -1 W 100 (Quarterlys) 28 MAR 24 60 PUT @.36 CBOE,-0.02,-0.65,36.00,"41,944.45"
175,3/22/24,10:31:51,TRD,1000331939704.0,SOLD -1 ALB 100 (Quarterlys) 28 MAR 24 115 PUT @.43 BOX,-0.01,-0.65,43.00,"41,986.79"
179,3/25/24,09:44:49,TRD,1000338008356.0,SOLD -1 MRNA 100 (Quarterlys) 28 MAR 24 101 PUT @.38 CBOE,-0.01,-0.65,38.00,"42,024.13"
182,3/27/24,08:32:29,TRD,1000326733860.0,BOT +2 W 100 (Quarterlys) 28 MAR 24 61 PUT @.05 CBOE,-0.02,,-10.00,"42,014.11"
183,3/27/24,08:48:50,TRD,1000327503299.0,BOT +2 W 100 (Quarterlys) 28 MAR 24 60 PUT @.03 CBOE,-0.02,,-6.00,"42,008.09"
184,3/27/24,09:10:42,TRD,1000331939705.0,BOT +1 ALB 100 (Quarterlys) 28 MAR 24 115 PUT @.04,-0.01,,-4.00,"42,004.08"
185,3/27/24,11:09:38,TRD,1000338008357.0,BOT +1 MRNA 100 (Quarterlys) 28 MAR 24 101 PUT @.03 CBOE,-0.01,,-3.00,"42,001.07"
186,3/27/24,12:34:47,TRD,1000349431252.0,SOLD -1 MRNA 100 (Weeklys) 5 APR 24 99 PUT @.33 CBOE,-0.01,-0.65,33.00,"42,033.41"
187,3/27/24,12:36:04,TRD,1000349431269.0,SOLD -2 W 100 (Weeklys) 5 APR 24 61 PUT @.30 PHLX,-0.03,-1.3,60.00,"42,092.08"
188,3/27/24,12:36:51,TRD,1000349431281.0,SOLD -1 ALB 100 (Weeklys) 5 APR 24 118 PUT @.42 CBOE,-0.01,-0.65,42.00,"42,133.42"
190,3/28/24,14:29:13,TRD,1000358464100.0,SOLD -2 W 100 (Weeklys) 5 APR 24 61 PUT @.20 NASDAQ,-0.03,-1.3,40.00,"42,172.09"
197,4/3/24,12:20:02,TRD,1000349431282.0,BOT +1 ALB 100 (Weeklys) 5 APR 24 118 PUT @.04 CBOE,-0.01,,-4.00,"42,168.08"
198,4/3/24,13:30:33,TRD,1000371822505.0,SOLD -1 ALB 100 (Weeklys) 12 APR 24 117 PUT @.47 CBOE,-0.01,-0.65,47.00,"42,214.42"
201,4/5/24,09:49:38,TRD,1000349431253.0,BOT +1 MRNA 100 (Weeklys) 5 APR 24 99 PUT @.03 NASDAQ,-0.01,,-3.00,"42,211.41"
202,4/5/24,10:06:35,TRD,1000377863214.0,SOLD -1 MRNA 100 (Weeklys) 12 APR 24 96 PUT @.51,-0.01,-0.65,51.00,"42,261.75"
203,4/5/24,10:54:15,TRD,1000349431270.0,BOT +2 W 100 (Weeklys) 5 APR 24 61 PUT @.03 CBOE,-0.02,,-6.00,"42,255.73"
204,4/5/24,11:01:56,TRD,1000378972035.0,SOLD -2 W 100 (Weeklys) 12 APR 24 57 PUT @.27 CBOE,-0.03,-1.3,54.00,"42,308.40"
205,4/5/24,11:53:11,TRD,1000358464101.0,BOT +1 W 100 (Weeklys) 5 APR 24 61 PUT @.02 CBOE,-0.01,,-2.00,"42,306.39"
206,4/5/24,11:53:12,TRD,1000358464101.0,BOT +1 W 100 (Weeklys) 5 APR 24 61 PUT @.02 CBOE,-0.01,,-2.00,"42,304.38"
207,4/5/24,11:57:01,TRD,1000378973016.0,SOLD -1 W 100 (Weeklys) 12 APR 24 57 PUT @.27 MIAX,-0.01,-0.65,27.00,"42,330.72"
208,4/5/24,11:58:25,TRD,1000378973038.0,SOLD -1 W 100 (Weeklys) 12 APR 24 57 PUT @.27 CBOE,-0.01,-0.65,27.00,"42,357.06"
213,4/9/24,08:30:10,TRD,1000377863215.0,BOT +1 MRNA 100 (Weeklys) 12 APR 24 96 PUT @.05 CBOE,-0.01,,-5.00,"42,352.05"
216,4/11/24,08:37:23,TRD,1000371822506.0,BOT +1 ALB 100 (Weeklys) 12 APR 24 117 PUT @.04 PHLX,-0.01,,-4.00,"42,348.04"
217,4/11/24,11:12:44,TRD,1000393309950.0,SOLD -1 ALB 100 19 APR 24 117 PUT @.48 CBOE,-0.01,-0.65,48.00,"42,395.38"
218,4/11/24,11:14:09,TRD,1000393309981.0,SOLD -1 ALB 100 19 APR 24 118 PUT @.60 CBOE,-0.01,-0.65,60.00,"42,454.72"
219,4/11/24,11:52:55,TRD,1000378973039.0,BOT +1 W 100 (Weeklys) 12 APR 24 57 PUT @.03 PHLX,-0.01,,-3.00,"42,451.71"
220,4/11/24,11:52:55,TRD,1000378973017.0,BOT +1 W 100 (Weeklys) 12 APR 24 57 PUT @.03,-0.01,,-3.00,"42,448.70"
221,4/11/24,11:52:55,TRD,1000378973025.0,BOT +2 W 100 (Weeklys) 12 APR 24 57 PUT @.03 CBOE,-0.02,,-6.00,"42,442.68"
222,4/11/24,12:01:33,TRD,1000394386276.0,SOLD -2 W 100 19 APR 24 55 PUT @.19 CBOE,-0.03,-1.3,38.00,"42,479.35"
223,4/11/24,12:02:13,TRD,1000394386286.0,SOLD -2 W 100 19 APR 24 56 PUT @.27 CBOE,-0.03,-1.3,54.00,"42,532.02"
233,4/19/24,11:46:49,TRD,1000417563452.0,SOLD -1 DIAGONAL ALB 100 (Weeklys) 26 APR 24/19 APR 24 116/117 PUT @1.03 ISE,-0.02,-1.3,103.00,"42,649.18"
234,4/19/24,11:47:46,TRD,1000417563464.0,SOLD -1 DIAGONAL ALB 100 (Weeklys) 26 APR 24/19 APR 24 117/118 PUT @.72 ISE,-0.02,-1.3,72.00,"42,719.86"
235,4/19/24,11:50:54,TRD,1000417563484.0,SOLD -2 DIAGONAL W 100 (Weeklys) 26 APR 24/19 APR 24 54/55 PUT @.69 CBOE,-0.05,-2.6,138.00,"42,855.21"
236,4/19/24,13:48:09,TRD,1000418716848.0,SOLD -1 CALENDAR W 100 (Weeklys) 26 APR 24/19 APR 24 56 PUT @.67 CBOE,-0.02,-1.3,67.00,"42,920.89"
237,4/19/24,13:48:09,TRD,1000418716848.0,SOLD -1 CALENDAR W 100 (Weeklys) 26 APR 24/19 APR 24 56 PUT @.67 CBOE,-0.04,-1.3,67.00,"42,986.55"
245,4/26/24,11:58:18,TRD,1000433875140.0,SOLD -1 DIAGONAL ALB 100 (Weeklys) 10 MAY 24/26 APR 24 115/116 PUT @4.39 CBOE,-0.02,-1.3,439.00,"43,424.23"
246,4/26/24,11:59:08,TRD,1000433875146.0,SOLD -1 DIAGONAL ALB 100 (Weeklys) 10 MAY 24/26 APR 24 116/117 PUT @4.55 CBOE,-0.02,-1.3,455.00,"43,877.91"
247,4/26/24,12:03:37,TRD,1000433875152.0,SOLD -2 DIAGONAL W 100 (Weeklys) 10 MAY 24/26 APR 24 53/54 PUT @2.40 CBOE,-0.06,-2.6,480.00,"44,355.25"
248,4/26/24,12:11:00,TRD,1000433875166.0,SOLD -2 DIAGONAL W 100 (Weeklys) 10 MAY 24/26 APR 24 54/56 PUT @1.15 CBOE,-0.06,-2.6,230.00,"44,582.59"
