,DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
71,2/13/25,08:33:11,TRD,1002734011710.0,BOT +1 PLTR 100 (Weeklys) 14 FEB 25 105 PUT @.12,-0.01,-0.65,-12.00,"81,852.18"
72,2/13/25,08:33:13,TRD,1002734011664.0,BOT +1 PLTR 100 (Weeklys) 14 FEB 25 105 PUT @.12 CBOE,-0.01,-0.65,-12.00,"81,839.52"
73,2/13/25,09:22:57,TRD,1002733021763.0,BOT +1 MSTR 100 (Weeklys) 14 FEB 25 295 PUT @.19,-0.01,-0.65,-19.00,"81,819.86"
74,2/13/25,13:04:33,TRD,1002733021787.0,BOT +1 MSTR 100 (Weeklys) 14 FEB 25 290 PUT @.15 NASDAQ,-0.01,-0.65,-15.00,"81,804.20"
76,2/14/25,09:22:10,TRD,1002776292485.0,SOLD -2 RDDT 100 21 FEB 25 185 PUT @1.15 CBOE,-0.04,-1.3,230.00,"82,032.86"
77,2/14/25,09:30:00,TRD,1002776292997.0,SOLD -2 PLTR 100 21 FEB 25 109 PUT @.65 BOX,-0.03,-1.3,130.00,"82,161.53"
78,2/14/25,09:30:00,TRD,1002776292998.0,BOT +2 PLTR 100 21 FEB 25 109 PUT @.70 CBOE,-0.02,-1.3,-140.00,"82,020.21"
79,2/14/25,09:31:24,TRD,1002776293068.0,SOLD -1 PLTR 100 21 FEB 25 109 PUT @.66 CBOE,-0.01,-0.65,66.00,"82,085.55"
80,2/14/25,09:31:24,TRD,1002776293068.0,SOLD -1 PLTR 100 21 FEB 25 109 PUT @.66 CBOE,-0.02,-0.65,66.00,"82,150.88"
81,2/14/25,09:38:56,TRD,1002776293482.0,SOLD -1 RDDT 100 21 FEB 25 180 PUT @.85 BOX,-0.01,-0.65,85.00,"82,235.22"
87,2/19/25,13:44:20,TRD,1002776293069.0,BOT +2 PLTR 100 21 FEB 25 109 PUT @.07 CBOE,-0.02,-1.3,-14.00,"82,219.90"
88,2/19/25,13:55:09,TRD,1002798250357.0,SOLD -2 PLTR 100 21 FEB 25 117 PUT @.51 CBOE,-0.03,-1.3,102.00,"82,320.57"
91,2/21/25,14:27:46,TRD,1002817095472.0,SOLD -1 CALENDAR RDDT 100 (Weeklys) 28 FEB 25/21 FEB 25 180 PUT @1.04 ISE,-0.07,-1.3,104.00,"82,423.20"
92,2/21/25,14:28:13,TRD,1002817095493.0,SOLD -2 CALENDAR PLTR 100 (Weeklys) 28 FEB 25/21 FEB 25 117 PUT @.32 CBOE,-0.14,-2.6,64.00,"82,484.46"
93,2/21/25,14:29:38,TRD,1002817095568.0,SOLD -2 CALENDAR RDDT 100 (Weeklys) 28 FEB 25/21 FEB 25 185 PUT @.45 CBOE,-0.17,-2.6,90.00,"82,571.69"
102,2/27/25,19:14:36,DOI,92995787931.0,SCHWAB1 INT 01/30-02/26 3.11 US$,,,3.11,"59,174.80"
108,2/28/25,09:20:44,TRD,1002856283339.0,SOLD -3 RDDT 100 (Weeklys) 7 MAR 25 180 CALL @1.11 CBOE,-0.05,-1.95,333.00,"4,505.80"
130,3/20/25,11:52:38,TRD,1002979048247.0,SOLD -1 PLTR 100 (Weeklys) 28 MAR 25 97 CALL @.70 CBOE,-0.01,-0.65,70.00,"4,575.14"
131,3/20/25,11:52:38,TRD,1002979048247.0,SOLD -1 PLTR 100 (Weeklys) 28 MAR 25 97 CALL @.70 CBOE,-0.02,-0.65,70.00,"4,644.47"
132,3/20/25,11:54:55,TRD,1002979048300.0,SOLD -3 RDDT 100 (Weeklys) 28 MAR 25 122 CALL @1.49 CBOE,-0.05,-1.95,447.00,"5,089.47"
137,3/24/25,09:47:13,TRD,1002992992275.0,SOLD -2 DIAGONAL PLTR 100 17 APR 25/28 MAR 25 105/97 CALL @.40 CBOE,-0.07,-2.6,80.00,"5,166.80"
138,3/24/25,09:47:29,TRD,1002992992245.0,SOLD -3 DIAGONAL RDDT 100 17 APR 25/28 MAR 25 130/122 CALL @1.32 CBOE,-0.14,-3.9,396.00,"5,558.76"
143,3/28/25,19:21:42,DOI,94329774034.0,SCHWAB1 INT 02/27-03/27 0.36 US$,,,0.36,"5,559.12"
170,4/21/25,08:45:47,TRD,1003163611636.0,SOLD -2 PLTR 100 (Weeklys) 25 APR 25 105 CALL @.61 PHLX,-0.03,-1.3,122.00,"5,679.79"
171,4/21/25,08:47:18,TRD,1003163611824.0,SOLD -3 RDDT 100 (Weeklys) 25 APR 25 105 CALL @.50 CBOE,-0.04,-1.95,150.00,"5,827.80"
172,4/21/25,09:43:31,TRD,1003165277599.0,SOLD -3 DIAGONAL RDDT 100 (Weeklys) 2 MAY 25/25 APR 25 110/105 CALL @2.21 ISE,-0.09,-3.9,663.00,"6,486.81"
175,4/23/25,09:24:53,TRD,1003182713048.0,SOLD -2 DIAGONAL PLTR 100 (Weeklys) 9 MAY 25/25 APR 25 117/105 CALL @2.00 CBOE,-0.07,-2.6,400.00,"6,884.14"
176,4/23/25,09:46:08,TRD,1003183566497.0,SOLD -1 DIAGONAL RDDT 100 (Weeklys) 23 MAY 25/2 MAY 25 115/110 CALL @.54 CBOE,-0.05,-1.3,54.00,"6,936.79"
177,4/23/25,09:46:08,TRD,1003183566497.0,SOLD -2 DIAGONAL RDDT 100 (Weeklys) 23 MAY 25/2 MAY 25 115/110 CALL @.54 CBOE,-0.1,-2.6,108.00,"7,042.09"
179,4/24/25,14:53:56,TRD,1003196517997.0,BOT +1 RDDT 100 (Weeklys) 23 MAY 25 115 CALL @11.06 CBOE,-0.01,-0.65,"-1,106.00","5,935.43"
180,4/24/25,14:53:56,TRD,1003196517997.0,BOT +2 RDDT 100 (Weeklys) 23 MAY 25 115 CALL @11.06 CBOE,-0.02,-1.3,"-2,212.00","3,722.11"
186,4/29/25,19:07:30,DOI,95775859789.0,SCHWAB1 INT 03/28-04/28 0.32 US$,,,0.32,"3,722.43"
201,5/12/25,08:48:53,TRD,1003298729242.0,SOLD -200 PLTR @119.1101,-0.69,,"23,822.02","27,543.76"
206,5/16/25,10:14:58,TRD,1003340458942.0,SOLD -1 VERTICAL SHOP 100 (Weeklys) 23 MAY 25 103/98 PUT @.41 CBOE,-0.02,-1.3,41.00,"27,583.44"
214,5/23/25,14:48:18,TRD,1003392753610.0,BOT +1 SHOP 100 (Weeklys) 23 MAY 25 103 PUT @1.03 PHLX,-0.01,-0.65,-103.00,"27,479.78"
220,5/27/25,13:25:17,TRD,1003401075542.0,SOLD -1 VERTICAL AAPL 100 (Weeklys) 30 MAY 25 200/202.5 CALL @1.20 CBOE,-0.02,-1.3,120.00,"27,598.46"
223,5/29/25,19:11:10,DOI,97279431966.0,SCHWAB1 INT 04/29-05/28 0.78 US$,,,0.78,"27,599.24"
225,5/30/25,11:17:36,TRD,1003426929607.0,BOT +1 VERTICAL AAPL 100 (Weeklys) 30 MAY 25 200/202.5 CALL @.12 CBOE,-0.02,-1.3,-12.00,"27,585.92"
240,6/13/25,10:56:35,TRD,1003526329962.0,SOLD -1 VERTICAL AAPL 100 20 JUN 25 200/197.5 PUT @1.35 CBOE,-0.02,-1.3,135.00,"27,719.60"
