,DATE,TIME,TYPE,REF #,DESCRIPTION,Misc Fees,Commissions & Fees,AMOUNT,BALANCE
73,2/13/25,09:22:57,TRD,1002733021763.0,BOT +1 MSTR 100 (Weeklys) 14 FEB 25 295 PUT @.19,-0.01,-0.65,-19.00,"81,819.86"
74,2/13/25,13:04:33,TRD,1002733021787.0,BOT +1 MSTR 100 (Weeklys) 14 FEB 25 290 PUT @.15 NASDAQ,-0.01,-0.65,-15.00,"81,804.20"
76,2/14/25,09:22:10,TRD,1002776292485.0,SOLD -2 RDDT 100 21 FEB 25 185 PUT @1.15 CBOE,-0.04,-1.3,230.00,"82,032.86"
77,2/14/25,09:30:00,TRD,1002776292997.0,SOLD -2 PLTR 100 21 FEB 25 109 PUT @.65 BOX,-0.03,-1.3,130.00,"82,161.53"
78,2/14/25,09:30:00,TRD,1002776292998.0,BOT +2 PLTR 100 21 FEB 25 109 PUT @.70 CBOE,-0.02,-1.3,-140.00,"82,020.21"
79,2/14/25,09:31:24,TRD,1002776293068.0,SOLD -1 PLTR 100 21 FEB 25 109 PUT @.66 CBOE,-0.01,-0.65,66.00,"82,085.55"
80,2/14/25,09:31:24,TRD,1002776293068.0,SOLD -1 PLTR 100 21 FEB 25 109 PUT @.66 CBOE,-0.02,-0.65,66.00,"82,150.88"
81,2/14/25,09:38:56,TRD,1002776293482.0,SOLD -1 RDDT 100 21 FEB 25 180 PUT @.85 BOX,-0.01,-0.65,85.00,"82,235.22"
87,2/19/25,13:44:20,TRD,1002776293069.0,BOT +2 PLTR 100 21 FEB 25 109 PUT @.07 CBOE,-0.02,-1.3,-14.00,"82,219.90"
88,2/19/25,13:55:09,TRD,1002798250357.0,SOLD -2 PLTR 100 21 FEB 25 117 PUT @.51 CBOE,-0.03,-1.3,102.00,"82,320.57"
91,2/21/25,14:27:46,TRD,1002817095472.0,SOLD -1 CALENDAR RDDT 100 (Weeklys) 28 FEB 25/21 FEB 25 180 PUT @1.04 ISE,-0.07,-1.3,104.00,"82,423.20"
92,2/21/25,14:28:13,TRD,1002817095493.0,SOLD -2 CALENDAR PLTR 100 (Weeklys) 28 FEB 25/21 FEB 25 117 PUT @.32 CBOE,-0.14,-2.6,64.00,"82,484.46"
93,2/21/25,14:29:38,TRD,1002817095568.0,SOLD -2 CALENDAR RDDT 100 (Weeklys) 28 FEB 25/21 FEB 25 185 PUT @.45 CBOE,-0.17,-2.6,90.00,"82,571.69"
108,2/28/25,09:20:44,TRD,1002856283339.0,SOLD -3 RDDT 100 (Weeklys) 7 MAR 25 180 CALL @1.11 CBOE,-0.05,-1.95,333.00,"4,505.80"
130,3/20/25,11:52:38,TRD,1002979048247.0,SOLD -1 PLTR 100 (Weeklys) 28 MAR 25 97 CALL @.70 CBOE,-0.01,-0.65,70.00,"4,575.14"
131,3/20/25,11:52:38,TRD,1002979048247.0,SOLD -1 PLTR 100 (Weeklys) 28 MAR 25 97 CALL @.70 CBOE,-0.02,-0.65,70.00,"4,644.47"
132,3/20/25,11:54:55,TRD,1002979048300.0,SOLD -3 RDDT 100 (Weeklys) 28 MAR 25 122 CALL @1.49 CBOE,-0.05,-1.95,447.00,"5,089.47"
137,3/24/25,09:47:13,TRD,1002992992275.0,SOLD -2 DIAGONAL PLTR 100 17 APR 25/28 MAR 25 105/97 CALL @.40 CBOE,-0.07,-2.6,80.00,"5,166.80"
138,3/24/25,09:47:29,TRD,1002992992245.0,SOLD -3 DIAGONAL RDDT 100 17 APR 25/28 MAR 25 130/122 CALL @1.32 CBOE,-0.14,-3.9,396.00,"5,558.76"
170,4/21/25,08:45:47,TRD,1003163611636.0,SOLD -2 PLTR 100 (Weeklys) 25 APR 25 105 CALL @.61 PHLX,-0.03,-1.3,122.00,"5,679.79"
171,4/21/25,08:47:18,TRD,1003163611824.0,SOLD -3 RDDT 100 (Weeklys) 25 APR 25 105 CALL @.50 CBOE,-0.04,-1.95,150.00,"5,827.80"
172,4/21/25,09:43:31,TRD,1003165277599.0,SOLD -3 DIAGONAL RDDT 100 (Weeklys) 2 MAY 25/25 APR 25 110/105 CALL @2.21 ISE,-0.09,-3.9,663.00,"6,486.81"
175,4/23/25,09:24:53,TRD,1003182713048.0,SOLD -2 DIAGONAL PLTR 100 (Weeklys) 9 MAY 25/25 APR 25 117/105 CALL @2.00 CBOE,-0.07,-2.6,400.00,"6,884.14"
176,4/23/25,09:46:08,TRD,1003183566497.0,SOLD -1 DIAGONAL RDDT 100 (Weeklys) 23 MAY 25/2 MAY 25 115/110 CALL @.54 CBOE,-0.05,-1.3,54.00,"6,936.79"
177,4/23/25,09:46:08,TRD,1003183566497.0,SOLD -2 DIAGONAL RDDT 100 (Weeklys) 23 MAY 25/2 MAY 25 115/110 CALL @.54 CBOE,-0.1,-2.6,108.00,"7,042.09"
179,4/24/25,14:53:56,TRD,1003196517997.0,BOT +1 RDDT 100 (Weeklys) 23 MAY 25 115 CALL @11.06 CBOE,-0.01,-0.65,"-1,106.00","5,935.43"
180,4/24/25,14:53:56,TRD,1003196517997.0,BOT +2 RDDT 100 (Weeklys) 23 MAY 25 115 CALL @11.06 CBOE,-0.02,-1.3,"-2,212.00","3,722.11"
206,5/16/25,10:14:58,TRD,1003340458942.0,SOLD -1 VERTICAL SHOP 100 (Weeklys) 23 MAY 25 103/98 PUT @.41 CBOE,-0.02,-1.3,41.00,"27,583.44"
214,5/23/25,14:48:18,TRD,1003392753610.0,BOT +1 SHOP 100 (Weeklys) 23 MAY 25 103 PUT @1.03 PHLX,-0.01,-0.65,-103.00,"27,479.78"
220,5/27/25,13:25:17,TRD,1003401075542.0,SOLD -1 VERTICAL AAPL 100 (Weeklys) 30 MAY 25 200/202.5 CALL @1.20 CBOE,-0.02,-1.3,120.00,"27,598.46"
225,5/30/25,11:17:36,TRD,1003426929607.0,BOT +1 VERTICAL AAPL 100 (Weeklys) 30 MAY 25 200/202.5 CALL @.12 CBOE,-0.02,-1.3,-12.00,"27,585.92"
240,6/13/25,10:56:35,TRD,1003526329962.0,SOLD -1 VERTICAL AAPL 100 20 JUN 25 200/197.5 PUT @1.35 CBOE,-0.02,-1.3,135.00,"27,719.60"
248,6/20/25,14:49:30,TRD,1003570761073.0,BOT +1 VERTICAL AAPL 100 20 JUN 25 200/197.5 PUT @.24 CBOE,-0.02,-1.3,-24.00,"27,694.28"
292,7/31/25,14:24:24,TRD,1003849706461.0,SOLD -3 RDDT 100 (Weeklys) 1 AUG 25 170 CALL @7.00 BOX,-0.04,-1.95,"2,100.00","4,793.45"
313,8/18/25,08:39:24,TRD,1003963855684.0,SOLD -1 VERTICAL GOOGL 100 (Weeklys) 22 AUG 25 197.5/195 PUT @.36 CBOE,-0.02,-1.3,36.00,"55,828.08"
314,8/18/25,08:45:19,TRD,1003964584391.0,SOLD -1 VERTICAL AAPL 100 (Weeklys) 22 AUG 25 225/222.5 PUT @.30 CBOE,-0.02,-1.3,30.00,"55,856.76"
319,8/22/25,09:16:56,TRD,1004003265144.0,BOT +1 VERTICAL GOOGL 100 (Weeklys) 22 AUG 25 197.5/195 PUT @.02 PHLX,-0.02,-1.3,-2.00,"55,853.44"
320,8/22/25,10:17:38,TRD,1004004939921.0,SOLD -1 GOOGL 100 (Weeklys) 29 AUG 25 195 PUT @1.03 MIAX,-0.01,-0.65,103.00,"55,955.78"
321,8/22/25,10:43:04,TRD,1004005853438.0,SOLD -1 AAPL 100 (Weeklys) 29 AUG 25 220 PUT @.83 CBOE,-0.01,-0.65,83.00,"56,038.12"
322,8/22/25,12:21:42,TRD,1004003265338.0,BOT +1 VERTICAL AAPL 100 (Weeklys) 22 AUG 25 225/222.5 PUT @.03 CBOE,-0.02,-1.3,-3.00,"56,033.80"
329,8/28/25,09:31:00,TRD,1004004939922.0,BOT +1 GOOGL 100 (Weeklys) 29 AUG 25 195 PUT @.10 CBOE,-0.01,-0.65,-10.00,"56,023.14"
330,8/28/25,12:49:27,TRD,1004005853439.0,BOT +1 AAPL 100 (Weeklys) 29 AUG 25 220 PUT @.08 CBOE,-0.01,-0.65,-8.00,"56,014.48"
331,8/28/25,14:02:07,TRD,1004047190414.0,SOLD -1 AAPL 100 (Weeklys) 5 SEP 25 225 PUT @.86 CBOE,-0.01,-0.65,86.00,"56,099.82"
332,8/28/25,14:02:49,TRD,1004047190445.0,SOLD -1 GOOGL 100 (Weeklys) 5 SEP 25 200 PUT @.84,-0.01,-0.65,84.00,"56,183.16"
340,9/3/25,14:56:03,TRD,1004047190415.0,BOT +1 AAPL 100 (Weeklys) 5 SEP 25 225 PUT @.09 CBOE,-0.01,-0.65,-9.00,"56,175.45"
342,9/4/25,13:21:13,TRD,1004085527173.0,BOT +1 GOOGL 100 (Weeklys) 5 SEP 25 200 PUT @.04 MIAX,-0.01,,-4.00,"56,171.44"
344,9/5/25,11:54:29,TRD,1004094831789.0,SOLD -1 VERTICAL AAPL 100 (Weeklys) 12 SEP 25 237.5/240 CALL @1.39 CBOE,-0.02,-1.3,139.00,"56,309.12"
345,9/5/25,14:30:43,TRD,1004097647135.0,SOLD -1 VERTICAL GOOGL 100 (Weeklys) 12 SEP 25 232.5/235 CALL @1.31 CBOE,-0.02,-1.3,131.00,"56,438.80"
351,9/10/25,08:55:35,TRD,1004121202027.0,BOT +1 VERTICAL AAPL 100 (Weeklys) 12 SEP 25 237.5/240 CALL @.13 CBOE,-0.02,-1.3,-13.00,"56,424.48"
354,9/12/25,10:33:31,TRD,1004143811801.0,SOLD -1 VERTICAL AAPL 100 19 SEP 25 222.5/225 CALL @2.30 CBOE,-0.02,-1.3,230.00,"56,653.16"
355,9/12/25,11:06:24,TRD,1004144775335.0,SOLD -1 VERTICAL GOOGL 100 19 SEP 25 245/242.5 PUT @1.70 CBOE,-0.02,-1.3,170.00,"56,821.84"
356,9/12/25,13:54:00,TRD,1004148406013.0,BOT +1 VERTICAL GOOGL 100 (Weeklys) 12 SEP 25 232.5/235 CALL @2.50 CBOE,-0.02,-1.3,-250.00,"56,570.52"
363,9/18/25,08:31:08,TRD,1004170563490.0,BOT +1 VERTICAL GOOGL 100 19 SEP 25 245/242.5 PUT @.17 CBOE,-0.02,-1.3,-17.00,"56,552.20"
365,9/19/25,12:20:58,TRD,1004200569489.0,BOT +1 VERTICAL AAPL 100 19 SEP 25 222.5/225 CALL @2.48 CBOE,-0.02,-1.3,-248.00,"56,302.88"
366,9/19/25,14:09:19,TRD,1004202553611.0,SOLD -1 VERTICAL GOOGL 100 (Weeklys) 26 SEP 25 252.5/250 PUT @.84 CBOE,-0.02,-1.3,84.00,"56,385.56"
367,9/19/25,14:10:48,TRD,1004202553343.0,SOLD -1 VERTICAL AAPL 100 (Weeklys) 26 SEP 25 245/247.5 CALL @1.19 CBOE,-0.02,-1.3,119.00,"56,503.24"
375,9/26/25,10:00:04,TRD,1004254392080.0,SOLD -1 NVDA 100 (Weeklys) 3 OCT 25 165 PUT @.59 PHLX,-0.01,-0.65,59.00,"56,561.58"
376,9/26/25,10:01:11,TRD,1004254392158.0,SOLD -1 PLTR 100 (Weeklys) 3 OCT 25 160 PUT @.88 MIAX,-0.01,-0.65,88.00,"56,648.92"
377,9/26/25,10:10:44,TRD,1004254392740.0,SOLD -1 NVDA 100 (Weeklys) 3 OCT 25 167.5 PUT @.80 PHLX,-0.01,-0.65,80.00,"56,728.26"
378,9/26/25,14:45:05,TRD,1004259441771.0,BOT +1 VERTICAL AAPL 100 (Weeklys) 26 SEP 25 245/247.5 CALL @2.50 CBOE,-0.02,-1.3,-250.00,"56,476.94"
379,9/26/25,14:45:21,TRD,1004259441799.0,BOT +1 VERTICAL GOOGL 100 (Weeklys) 26 SEP 25 252.5/250 PUT @2.53 ISE,-0.02,-1.3,-253.00,"56,222.62"
386,10/1/25,09:35:58,TRD,1004267945312.0,BOT +1 NVDA 100 (Weeklys) 3 OCT 25 167.5 PUT @.08 CBOE,-0.01,-0.65,-8.00,"56,216.52"
387,10/1/25,09:43:07,TRD,1004267945297.0,BOT +1 NVDA 100 (Weeklys) 3 OCT 25 165 PUT @.06 CBOE,-0.01,-0.65,-6.00,"56,209.86"
388,10/1/25,14:33:27,TRD,1004267945319.0,BOT +1 PLTR 100 (Weeklys) 3 OCT 25 160 PUT @.09,-0.01,-0.65,-9.00,"56,200.20"
390,10/2/25,13:53:36,TRD,1004304360341.0,SOLD -1 PLTR 100 (Weeklys) 10 OCT 25 170 PUT @.93 CBOE,-0.01,-0.65,93.00,"56,292.54"
392,10/3/25,09:34:47,TRD,1004309593352.0,SOLD -1 GOOGL 100 (Weeklys) 10 OCT 25 227.5 PUT @.68 CBOE,-0.01,-0.65,68.00,"56,359.88"
393,10/3/25,10:46:38,TRD,1004312148768.0,SOLD -2 HIMS 100 (Weeklys) 10 OCT 25 49 PUT @.46 CBOE,-0.03,-1.3,92.00,"56,450.55"
394,10/3/25,10:55:08,TRD,1004312149392.0,SOLD -1 HIMS 100 (Weeklys) 10 OCT 25 49.5 PUT @.51 CBOE,-0.01,-0.65,51.00,"56,500.89"
401,10/9/25,08:30:04,TRD,1004357001350.0,BOT +1 GOOGL 100 (Weeklys) 10 OCT 25 227.5 PUT @.07 CBOE,-0.01,-0.65,-7.00,"56,493.23"
402,10/9/25,13:34:17,TRD,1004357001356.0,BOT +1 HIMS 100 (Weeklys) 10 OCT 25 49.5 PUT @.05 CBOE,-0.01,,-5.00,"56,488.22"
403,10/9/25,13:34:38,TRD,1004357001353.0,BOT +2 HIMS 100 (Weeklys) 10 OCT 25 49 PUT @.05,-0.02,,-10.00,"56,478.20"
404,10/9/25,14:46:17,TRD,1004368315872.0,BOT +1 PLTR 100 (Weeklys) 10 OCT 25 170 PUT @.11,-0.01,-0.65,-11.00,"56,466.54"
406,10/10/25,09:05:59,TRD,1004371875735.0,SOLD -1 MSTR 100 17 OCT 25 290 PUT @2.72 MIAX,-0.01,-0.65,272.00,"56,737.88"
407,10/10/25,09:11:57,TRD,1004372774346.0,SOLD -4 HIMS 100 17 OCT 25 49 PUT @.56 CBOE,-0.05,-2.6,224.00,"56,959.23"
415,10/17/25,09:43:38,TRD,1004421467744.0,BOT +4 HIMS 100 17 OCT 25 49 PUT @.06,-0.04,-2.6,-24.00,"56,932.59"
416,10/17/25,13:00:05,TRD,1004444989478.0,BOT +1 MSTR 100 17 OCT 25 290 PUT @1.36 CBOE,-0.01,-0.65,-136.00,"56,795.93"
420,10/20/25,10:02:26,TRD,1004454077942.0,SOLD -1 MSTR 100 (Weeklys) 24 OCT 25 270 PUT @1.48 MIAX,-0.01,-0.65,148.00,"56,943.27"
421,10/20/25,10:08:30,TRD,1004455034374.0,SOLD -1 ORCL 100 (Weeklys) 24 OCT 25 265 PUT @1.42 PHLX,-0.01,-0.65,142.00,"57,084.61"
425,10/23/25,13:55:57,TRD,1004455034375.0,BOT +1 ORCL 100 (Weeklys) 24 OCT 25 265 PUT @.14 CBOE,-0.01,-0.65,-14.00,"57,069.95"
427,10/24/25,08:30:02,TRD,1004454077943.0,BOT +1 MSTR 100 (Weeklys) 24 OCT 25 270 PUT @.12 CBOE,-0.01,-0.65,-12.00,"57,057.29"
428,10/24/25,11:26:45,TRD,1004507208067.0,SOLD -1 MU 100 (Weeklys) 31 OCT 25 190 PUT @.95 MIAX,-0.01,-0.65,95.00,"57,151.63"
429,10/24/25,12:33:56,TRD,1004508247210.0,SOLD -1 ORCL 100 (Weeklys) 31 OCT 25 260 PUT @.86 CBOE,-0.01,-0.65,86.00,"57,236.97"
430,10/24/25,13:00:23,TRD,1004509094710.0,SOLD -1 OKLO 100 (Weeklys) 31 OCT 25 105 PUT @.87 CBOE,-0.01,-0.65,87.00,"57,323.31"
436,10/29/25,08:59:11,TRD,1004507208068.0,BOT +1 MU 100 (Weeklys) 31 OCT 25 190 PUT @.09 CBOE,-0.01,-0.65,-9.00,"57,313.65"
438,10/30/25,09:32:24,TRD,1004509094711.0,BOT +1 OKLO 100 (Weeklys) 31 OCT 25 105 PUT @.09 CBOE,-0.01,-0.65,-9.00,"57,303.99"
441,10/31/25,11:05:16,TRD,1004571297641.0,SOLD -1 MU 100 (Weeklys) 7 NOV 25 200 PUT @1.17 CBOE,-0.01,-0.65,117.00,"57,422.81"
442,10/31/25,12:59:56,TRD,1004574824506.0,SOLD -1 BE 100 (Weeklys) 7 NOV 25 105 PUT @1.35 CBOE,-0.01,-0.65,135.00,"57,557.15"
443,10/31/25,13:10:00,TRD,1004571297062.0,BOT +1 ORCL 100 (Weeklys) 31 OCT 25 260 PUT @.43 CBOE,-0.01,-0.65,-43.00,"57,513.49"
444,10/31/25,13:46:06,TRD,1004576002376.0,SOLD -1 MU 100 (Weeklys) 7 NOV 25 202.5 PUT @1.59 MIAX,-0.01,-0.65,159.00,"57,671.83"
451,11/5/25,13:47:06,TRD,1004574824507.0,BOT +1 BE 100 (Weeklys) 7 NOV 25 105 PUT @.13 CBOE,-0.01,-0.65,-13.00,"82,658.17"
453,11/6/25,08:30:01,TRD,1004576002377.0,BOT +1 MU 100 (Weeklys) 7 NOV 25 202.5 PUT @.14 PHLX,-0.01,-0.65,-14.00,"82,643.51"
454,11/6/25,08:30:06,TRD,1004571297642.0,BOT +1 MU 100 (Weeklys) 7 NOV 25 200 PUT @.11 CBOE,-0.01,-0.65,-11.00,"82,631.85"
456,11/7/25,11:46:49,TRD,1004632621835.0,SOLD -1 MU 100 (Weeklys) 14 NOV 25 200 PUT @1.07 CBOE,-0.01,-0.65,107.00,"82,738.19"
457,11/7/25,11:48:56,TRD,1004632621960.0,SOLD -1 BE 100 (Weeklys) 14 NOV 25 100 PUT @1.18 PHLX,-0.01,-0.65,118.00,"82,855.53"
458,11/7/25,11:55:49,TRD,1004633302332.0,SOLD -1 MU 100 (Weeklys) 14 NOV 25 200 PUT @1.11 MIAX,-0.01,-0.65,111.00,"82,965.87"
462,11/10/25,11:02:24,TRD,1004633302333.0,BOT +1 MU 100 (Weeklys) 14 NOV 25 200 PUT @.10 CBOE,-0.01,-0.65,-10.00,"82,955.21"
463,11/10/25,14:24:40,TRD,1004650538918.0,SOLD -1 BE 100 (Weeklys) 14 NOV 25 120 PUT @1.63 CBOE,-0.01,-0.65,163.00,"83,117.55"
464,11/10/25,14:28:12,TRD,1004650539086.0,SOLD -1 AMD 100 (Weeklys) 14 NOV 25 225 PUT @1.26 CBOE,-0.01,-0.65,126.00,"83,242.89"
465,11/10/25,14:38:16,TRD,1004650539569.0,SOLD -1 BE 100 (Weeklys) 14 NOV 25 115 PUT @.94 BOX,-0.01,-0.65,94.00,"83,336.23"
467,11/11/25,08:38:09,TRD,1004632621836.0,BOT +1 MU 100 (Weeklys) 14 NOV 25 200 PUT @.10 CBOE,-0.01,-0.65,-10.00,"83,325.57"
468,11/11/25,11:25:10,TRD,1004657292103.0,SOLD -1 AMD 100 (Weeklys) 14 NOV 25 220 PUT @1.00 CBOE,-0.01,-0.65,100.00,"83,424.91"
470,11/12/25,08:30:11,TRD,1004657292104.0,BOT +1 AMD 100 (Weeklys) 14 NOV 25 220 PUT @.10 CBOE,-0.01,-0.65,-10.00,"83,414.25"
471,11/12/25,08:33:09,TRD,1004650539087.0,BOT +1 AMD 100 (Weeklys) 14 NOV 25 225 PUT @.13 CBOE,-0.01,-0.65,-13.00,"83,400.59"
472,11/12/25,12:11:08,TRD,1004669623085.0,SOLD -1 MU 100 (Weeklys) 14 NOV 25 230 PUT @.89 CBOE,-0.01,-0.65,89.00,"83,488.93"
473,11/12/25,12:23:29,TRD,1004669623639.0,SOLD -1 AMD 100 (Weeklys) 14 NOV 25 245 PUT @1.31 CBOE,-0.01,-0.65,131.00,"83,619.27"
