Stock quote and option quote for PLTR on 4/4/25 14:50:11

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
74.0099,D,-9.5901,73.99,Q,74.00,Q,2 x 2,"135,205,902",80.07,80.98,71.9303

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
"2,000",<empty>,389.5,<empty>,--,,125.41,20.33,"2,345,356,506",2.068

4 APR 25  (0)  100 (Weeklys)
,,Impl Vol,Prob.OTM,Prob.ITM,Delta,Volume,ROR,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Impl Vol,Prob.OTM,Prob.ITM,Delta,Volume,ROR,,
,,214.07%,95.13%,4.87%,.05,"18,002",<empty>,0,X,.05,N,4 APR 25,76,1.78,U,2.05,N,--,0.00%,100.00%,-1.00,"14,915",2.58%,,
,,270.83%,97.46%,2.54%,.03,"19,349",<empty>,.01,U,.02,S,4 APR 25,77,2.53,M,3.10,S,--,0.00%,100.00%,-1.00,"15,214",3.79%,,
,,293.92%,99.14%,0.86%,.01,"19,325",<empty>,0,E,.01,U,4 APR 25,78,3.90,M,4.05,P,--,0.00%,100.00%,-1.00,"14,486",5.37%,,
,,355.31%,99.29%,0.71%,.01,"14,024",<empty>,0,J,.01,P,4 APR 25,79,4.45,M,5.10,B,--,0.00%,100.00%,-1.00,"5,948",6.43%,,
,,414.74%,99.39%,0.61%,.01,"24,749",<empty>,0,X,.01,Z,4 APR 25,80,5.85,M,6.05,B,--,0.00%,100.00%,-1.00,"13,099",8.04%,,
,,472.48%,99.46%,0.54%,.01,"9,470",<empty>,0,Q,.01,Q,4 APR 25,81,6.80,B,7.30,B,706.50%,4.27%,95.73%,-.93,"3,422",9.53%,,
,,528.74%,99.52%,0.48%,.01,"7,356",<empty>,0,J,.01,U,4 APR 25,82,7.65,B,8.30,S,--,0.00%,100.00%,-1.00,"2,703",10.77%,,
,,583.67%,99.57%,0.43%,.00,"4,673",<empty>,0,Q,.01,U,4 APR 25,83,8.60,M,9.30,Q,--,0.00%,100.00%,-1.00,"2,314",12.09%,,
,,637.39%,99.61%,0.39%,.00,"11,214",<empty>,0,Z,.01,H,4 APR 25,84,9.90,B,10.25,B,1007.12%,4.42%,95.58%,-.93,"2,732",13.63%,,
,,689.98%,99.64%,0.36%,.00,"4,556",<empty>,0,H,.01,H,4 APR 25,85,10.70,M,11.10,B,--,0.00%,100.00%,-1.00,"4,025",14.71%,,
,,741.52%,99.67%,0.33%,.00,"4,865",<empty>,0,N,.01,N,4 APR 25,86,11.65,B,12.15,M,--,0.00%,100.00%,-1.00,"3,162",16.06%,,
,,792.08%,99.69%,0.31%,.00,"2,927",<empty>,0,Q,.01,Q,4 APR 25,87,12.75,M,13.25,B,0.00%,0.00%,100.00%,-1.00,555,17.57%,,
,,841.72%,99.71%,0.29%,.00,"3,044",<empty>,0,Z,.01,B,4 APR 25,88,13.55,B,14.30,B,--,0.00%,100.00%,-1.00,472,18.80%,,
,,960.49%,99.51%,0.49%,.01,"2,670",<empty>,0,D,.02,D,4 APR 25,89,14.15,M,15.30,Q,--,0.00%,100.00%,-1.00,398,19.82%,,
,,938.42%,99.74%,0.26%,.00,"23,170",<empty>,0,E,.01,B,4 APR 25,90,15.80,M,16.30,B,1500.71%,3.72%,96.28%,-.92,"1,299",21.70%,,
,,985.56%,99.76%,0.24%,.00,"3,877",<empty>,0,A,.01,B,4 APR 25,91,16.75,B,17.30,Q,1555.32%,3.44%,96.56%,-.92,236,23.01%,,
,,1031.94%,99.77%,0.23%,.00,"1,863",<empty>,0,H,.01,P,4 APR 25,92,17.15,M,18.25,M,--,0.00%,100.00%,-1.00,796,23.82%,,
,,1077.60%,99.78%,0.22%,.00,"1,201",<empty>,0,X,.01,N,4 APR 25,93,18.15,B,19.30,Q,--,0.00%,100.00%,-1.00,300,25.21%,,
,,1122.55%,99.79%,0.21%,.00,869,<empty>,0,B,.01,N,4 APR 25,94,19.15,B,20.30,Q,--,0.00%,100.00%,-1.00,94,26.56%,,
,,1166.84%,99.80%,0.20%,.00,"1,822",<empty>,0,X,.01,W,4 APR 25,95,20.15,B,21.30,Q,--,0.00%,100.00%,-1.00,535,27.90%,,
,,1210.48%,99.81%,0.19%,.00,"5,179",<empty>,0,W,.01,W,4 APR 25,96,21.15,B,22.30,Q,--,0.00%,100.00%,-1.00,29,29.25%,,
,,1253.50%,99.82%,0.18%,.00,"20,829",<empty>,0,A,.01,U,4 APR 25,97,22.15,B,23.30,Q,--,0.00%,100.00%,-1.00,50,30.60%,,
,,1295.91%,99.82%,0.18%,.00,684,<empty>,0,Q,.01,Q,4 APR 25,98,22.90,B,24.30,Q,--,0.00%,100.00%,-1.00,14,31.72%,,
,,1337.75%,99.83%,0.17%,.00,264,<empty>,0,D,.01,N,4 APR 25,99,23.90,S,25.30,Q,--,0.00%,100.00%,-1.00,<empty>,33.06%,,
,,1379.02%,99.84%,0.16%,.00,"1,088",<empty>,0,H,.01,W,4 APR 25,100,24.90,B,26.30,Q,--,0.00%,100.00%,-1.00,12,34.41%,,
,,1419.74%,99.84%,0.16%,.00,"2,973",<empty>,0,D,.01,N,4 APR 25,101,25.05,Q,27.30,Q,--,0.00%,100.00%,-1.00,2,34.98%,,
,,1459.93%,99.85%,0.15%,.00,102,<empty>,0,W,.01,P,4 APR 25,102,26.15,Q,28.30,Q,--,0.00%,100.00%,-1.00,4,36.41%,,
,,1499.61%,99.85%,0.15%,.00,272,<empty>,0,M,.01,N,4 APR 25,103,27.05,Q,29.30,Q,--,0.00%,100.00%,-1.00,4,37.65%,,
,,1538.79%,99.86%,0.14%,.00,49,<empty>,0,W,.01,P,4 APR 25,104,27.90,Q,31.30,Q,--,0.00%,100.00%,-1.00,<empty>,39.78%,,
,,1577.48%,99.86%,0.14%,.00,457,<empty>,0,Q,.01,N,4 APR 25,105,28.90,Q,32.30,Z,--,0.00%,100.00%,-1.00,<empty>,41.13%,,
,,1615.70%,99.87%,0.13%,.00,22,<empty>,0,Z,.01,P,4 APR 25,106,29.90,Q,33.30,Q,--,0.00%,100.00%,-1.00,<empty>,42.47%,,
,,1653.45%,99.87%,0.13%,.00,11,<empty>,0,D,.01,U,4 APR 25,107,31.35,Q,34.30,Q,--,0.00%,100.00%,-1.00,10,44.25%,,
,,1690.76%,99.88%,0.12%,.00,16,<empty>,0,Z,.01,N,4 APR 25,108,31.90,Q,35.30,Q,--,0.00%,100.00%,-1.00,1,45.16%,,
,,1727.64%,99.88%,0.12%,.00,4,<empty>,0,Z,.01,P,4 APR 25,109,32.90,Q,36.30,Q,--,0.00%,100.00%,-1.00,2,46.51%,,
,,1764.09%,99.88%,0.12%,.00,368,<empty>,0,D,.01,P,4 APR 25,110,33.95,Z,36.95,Z,--,0.00%,100.00%,-1.00,5,47.55%,,
,,1800.12%,99.89%,0.11%,.00,77,<empty>,0,W,.01,T,4 APR 25,111,34.90,Q,38.30,Q,--,0.00%,100.00%,-1.00,1,49.19%,,
,,1835.74%,99.89%,0.11%,.00,35,<empty>,0,Q,.01,P,4 APR 25,112,35.90,Q,39.30,Q,--,0.00%,100.00%,-1.00,<empty>,50.54%,,
,,1870.98%,99.89%,0.11%,.00,7,<empty>,0,W,.01,P,4 APR 25,113,36.90,Q,40.30,Q,--,0.00%,100.00%,-1.00,<empty>,51.88%,,
,,1905.82%,99.89%,0.11%,.00,<empty>,<empty>,0,W,.01,Q,4 APR 25,114,37.90,Q,41.30,Q,--,0.00%,100.00%,-1.00,<empty>,53.23%,,
,,1940.29%,99.90%,0.10%,.00,17,<empty>,0,W,.01,W,4 APR 25,115,38.90,Q,42.30,Z,--,0.00%,100.00%,-1.00,2,54.57%,,
,,1974.38%,99.90%,0.10%,.00,<empty>,<empty>,0,Z,.01,U,4 APR 25,116,39.90,Q,43.30,Q,--,0.00%,100.00%,-1.00,2,55.91%,,
,,2008.12%,99.90%,0.10%,.00,<empty>,<empty>,0,W,.01,U,4 APR 25,117,40.90,Z,44.30,Z,--,0.00%,100.00%,-1.00,2,57.26%,,
,,2041.51%,99.90%,0.10%,.00,<empty>,<empty>,0,Z,.01,P,4 APR 25,118,41.95,Z,45.30,Z,--,0.00%,100.00%,-1.00,4,58.66%,,
,,2074.54%,99.91%,0.09%,.00,<empty>,<empty>,0,Z,.01,U,4 APR 25,119,42.90,Z,46.30,Z,--,0.00%,100.00%,-1.00,<empty>,59.95%,,
,,2107.25%,99.91%,0.09%,.00,12,<empty>,0,M,.01,W,4 APR 25,120,43.90,Z,47.30,Z,--,0.00%,100.00%,-1.00,2,61.29%,,
,,2139.62%,99.91%,0.09%,.00,<empty>,<empty>,0,Z,.01,U,4 APR 25,121,44.90,Z,48.30,Z,--,0.00%,100.00%,-1.00,2,62.63%,,
,,2171.66%,99.91%,0.09%,.00,<empty>,<empty>,0,Z,.01,U,4 APR 25,122,45.90,Z,49.30,Z,--,0.00%,100.00%,-1.00,2,63.98%,,
,,2203.39%,99.91%,0.09%,.00,<empty>,<empty>,0,J,.01,N,4 APR 25,123,46.90,Z,50.30,Z,--,0.00%,100.00%,-1.00,<empty>,65.32%,,
,,2234.81%,99.92%,0.08%,.00,<empty>,<empty>,0,P,.01,P,4 APR 25,124,47.90,Z,51.30,Z,--,0.00%,100.00%,-1.00,1,66.67%,,
,,2265.92%,99.92%,0.08%,.00,21,<empty>,0,M,.01,S,4 APR 25,125,48.90,Z,52.30,Z,--,0.00%,100.00%,-1.00,1,68.01%,,
,,2539.84%,99.80%,0.20%,.00,<empty>,<empty>,0,Q,.03,Q,4 APR 25,126,49.90,Z,53.30,Z,--,0.00%,100.00%,-1.00,1,69.35%,,
,,3507.74%,98.50%,1.50%,.03,<empty>,<empty>,0,Z,.39,B,4 APR 25,127,50.90,Z,54.30,Z,--,0.00%,100.00%,-1.00,1,70.70%,,
,,2357.49%,99.92%,0.08%,.00,<empty>,<empty>,0,P,.01,P,4 APR 25,128,51.90,Z,55.30,Z,--,0.00%,100.00%,-1.00,<empty>,72.04%,,
,,3617.47%,98.50%,1.50%,.03,<empty>,<empty>,0,Z,.41,W,4 APR 25,129,52.90,Z,56.30,Z,--,0.00%,100.00%,-1.00,<empty>,73.39%,,
,,2417.12%,99.93%,0.07%,.00,25,<empty>,0,J,.01,S,4 APR 25,130,53.90,Z,57.30,Z,--,0.00%,100.00%,-1.00,<empty>,74.73%,,
,,2446.52%,99.93%,0.07%,.00,<empty>,<empty>,0,Z,.01,Z,4 APR 25,131,54.90,Z,58.30,Z,--,0.00%,100.00%,-1.00,<empty>,76.08%,,
,,3098.38%,99.52%,0.48%,.01,<empty>,<empty>,0,N,.10,N,4 APR 25,132,55.90,Z,59.30,Z,--,0.00%,100.00%,-1.00,<empty>,77.42%,,
,,3776.55%,98.60%,1.40%,.03,<empty>,<empty>,0,Z,.41,S,4 APR 25,133,56.90,Z,60.30,Z,--,0.00%,100.00%,-1.00,<empty>,78.76%,,
,,2533.16%,99.93%,0.07%,.00,<empty>,<empty>,0,N,.01,N,4 APR 25,134,57.90,Z,61.30,Z,--,0.00%,100.00%,-1.00,<empty>,80.11%,,
,,2561.53%,99.93%,0.07%,.00,<empty>,<empty>,0,J,.01,S,4 APR 25,135,58.90,Z,62.30,Z,--,0.00%,100.00%,-1.00,<empty>,81.45%,,
,,3892.03%,98.67%,1.33%,.03,<empty>,<empty>,0,Z,.41,S,4 APR 25,136,59.90,Z,63.30,Z,--,0.00%,100.00%,-1.00,<empty>,82.80%,,
,,3930.15%,98.69%,1.31%,.03,<empty>,<empty>,0,Z,.41,T,4 APR 25,137,60.90,Z,64.30,Z,--,0.00%,100.00%,-1.00,<empty>,84.14%,,
,,3968.17%,98.71%,1.29%,.03,5,<empty>,0,Z,.41,S,4 APR 25,138,61.90,Z,65.30,Z,--,0.00%,100.00%,-1.00,<empty>,85.48%,,
,,3334.98%,99.57%,0.43%,.01,<empty>,<empty>,0,I,.10,I,4 APR 25,139,62.90,Z,66.30,Z,--,0.00%,100.00%,-1.00,<empty>,86.83%,,
,,2699.73%,99.94%,0.06%,.00,<empty>,<empty>,0,J,.01,S,4 APR 25,140,63.90,Z,67.30,Z,--,0.00%,100.00%,-1.00,<empty>,88.17%,,
,,2832.25%,99.94%,0.06%,.00,<empty>,<empty>,0,J,.01,S,4 APR 25,145,68.90,Z,72.30,Z,--,0.00%,100.00%,-1.00,<empty>,94.89%,,
,,2959.54%,99.95%,0.05%,.00,1,<empty>,0,J,.01,S,4 APR 25,150,73.95,Z,77.30,Z,--,0.00%,100.00%,-1.00,<empty>,101.68%,,
,,3385.43%,99.87%,0.13%,.00,<empty>,<empty>,0,J,.03,I,4 APR 25,155,78.95,Z,82.30,Z,--,0.00%,100.00%,-1.00,<empty>,108.40%,,
,,3199.94%,99.95%,0.05%,.00,10,<empty>,0,N,.01,N,4 APR 25,160,83.95,Z,87.30,Z,--,0.00%,100.00%,-1.00,<empty>,115.13%,,
,,3505.50%,99.92%,0.08%,.00,<empty>,<empty>,0,N,.02,N,4 APR 25,165,88.95,Z,92.30,Z,--,0.00%,100.00%,-1.00,<empty>,121.85%,,
,,3423.61%,99.96%,0.04%,.00,<empty>,<empty>,0,W,.01,W,4 APR 25,170,93.95,Z,97.30,Z,--,0.00%,100.00%,-1.00,<empty>,128.57%,,
,,3529.87%,99.96%,0.04%,.00,<empty>,<empty>,0,N,.01,N,4 APR 25,175,98.95,Z,102.30,Z,--,0.00%,100.00%,-1.00,<empty>,135.29%,,
,,3632.72%,99.96%,0.04%,.00,<empty>,<empty>,0,W,.01,W,4 APR 25,180,103.95,Z,106.95,Z,--,0.00%,100.00%,-1.00,<empty>,141.45%,,
,,3732.38%,99.97%,0.03%,.00,<empty>,<empty>,0,W,.01,W,4 APR 25,185,108.95,Z,112.30,Z,--,0.00%,100.00%,-1.00,<empty>,148.74%,,

11 APR 25  (7)  100 (Weeklys)
,,Impl Vol,Prob.OTM,Prob.ITM,Delta,Volume,ROR,BID,BX,ASK,AX,Exp,Strike,BID,BX,ASK,AX,Impl Vol,Prob.OTM,Prob.ITM,Delta,Volume,ROR,,
,,310.82%,11.22%,88.78%,.95,1,<empty>,33.45,E,36.20,Q,11 APR 25,40,.06,U,.07,M,198.59%,98.22%,1.78%,-.01,909,0.16%,,
,,232.62%,8.31%,91.69%,.96,6,<empty>,28.25,A,30.80,P,11 APR 25,45,.14,D,.17,M,187.07%,96.35%,3.65%,-.02,594,0.35%,,
,,223.37%,13.26%,86.74%,.92,11,<empty>,23.45,S,26.45,U,11 APR 25,50,.32,D,.34,N,175.54%,93.23%,6.77%,-.04,"3,926",0.66%,,
,,180.10%,14.29%,85.71%,.91,34,<empty>,18.80,J,21.10,N,11 APR 25,55,.64,E,.70,M,165.73%,88.11%,11.89%,-.08,"1,778",1.23%,,
,,190.26%,17.66%,82.34%,.88,10,<empty>,17.70,B,20.90,B,11 APR 25,56,.75,I,.84,U,165.64%,86.50%,13.50%,-.09,163,1.44%,,
,,176.59%,17.16%,82.84%,.88,<empty>,<empty>,17.00,X,19.40,X,11 APR 25,57,.86,A,.92,N,162.99%,85.23%,14.77%,-.10,524,1.59%,,
,,181.94%,19.95%,80.05%,.86,11,<empty>,16.90,B,18.10,M,11 APR 25,58,.98,N,1.05,A,161.39%,83.67%,16.33%,-.11,281,1.78%,,
,,143.50%,14.83%,85.17%,.89,74,<empty>,15.20,M,16.55,M,11 APR 25,59,1.09,M,1.17,M,158.70%,82.22%,17.78%,-.13,390,1.95%,,
,,156.77%,19.47%,80.53%,.86,158,<empty>,15.15,M,15.50,B,11 APR 25,60,1.27,E,1.30,Q,157.28%,80.43%,19.57%,-.14,"8,256",2.19%,,
,,166.39%,23.39%,76.61%,.83,4,<empty>,13.75,M,15.80,M,11 APR 25,61,1.44,Z,1.46,B,155.62%,78.58%,21.42%,-.16,997,2.43%,,
,,162.91%,25.00%,75.00%,.82,14,<empty>,13.20,M,14.65,M,11 APR 25,62,1.60,Z,1.65,I,153.71%,76.67%,23.33%,-.17,"1,111",2.69%,,
,,159.03%,26.64%,73.36%,.80,7,<empty>,12.70,M,13.45,M,11 APR 25,63,1.79,Z,1.85,J,151.94%,74.63%,25.37%,-.19,"2,249",2.97%,,
,,148.01%,27.11%,72.89%,.79,33,<empty>,11.85,M,12.20,M,11 APR 25,64,1.99,Z,2.04,I,149.54%,72.61%,27.39%,-.21,"1,401",3.25%,,
,,148.51%,29.76%,70.24%,.77,540,<empty>,11.25,S,11.40,M,11 APR 25,65,2.21,Z,2.25,U,147.25%,70.46%,29.54%,-.23,"5,547",3.55%,,
,,143.57%,31.57%,68.43%,.75,63,<empty>,10.35,M,10.60,N,11 APR 25,66,2.45,Z,2.50,B,145.32%,68.14%,31.86%,-.25,"1,349",3.90%,,
,,141.97%,34.05%,65.95%,.73,90,<empty>,9.60,B,9.90,M,11 APR 25,67,2.70,Z,2.77,Z,143.21%,65.75%,34.25%,-.27,"1,127",4.26%,,
,,141.82%,36.83%,63.17%,.70,313,<empty>,8.95,U,9.25,B,11 APR 25,68,2.99,Z,3.05,B,141.21%,63.26%,36.74%,-.30,"4,372",4.65%,,
,,140.24%,39.47%,60.53%,.68,147,<empty>,8.30,B,8.55,S,11 APR 25,69,3.25,E,3.35,B,138.45%,60.76%,39.24%,-.32,"5,390",5.02%,,
,,136.69%,41.95%,58.05%,.65,923,<empty>,7.65,B,7.75,S,11 APR 25,70,3.55,E,3.70,M,136.30%,58.09%,41.91%,-.35,"11,551",5.46%,,
,,134.52%,44.69%,55.31%,.63,431,<empty>,7.00,M,7.10,N,11 APR 25,71,3.90,M,4.05,M,134.15%,55.34%,44.66%,-.37,"3,492",5.93%,,
,,132.32%,47.51%,52.49%,.60,388,<empty>,6.35,B,6.50,Z,11 APR 25,72,4.30,B,4.40,U,131.98%,52.51%,47.49%,-.40,"2,922",6.43%,,
,,130.07%,50.39%,49.61%,.57,830,<empty>,5.75,S,5.90,M,11 APR 25,73,4.70,S,4.80,B,129.76%,49.62%,50.38%,-.43,"3,138",6.96%,,
,,127.75%,53.33%,46.67%,.54,"2,802",<empty>,5.20,M,5.30,M,11 APR 25,74,5.15,P,5.25,Z,128.07%,46.66%,53.34%,-.46,"6,887",7.56%,,
,,125.34%,56.32%,43.68%,.51,"6,250",<empty>,4.65,B,4.75,P,11 APR 25,75,5.60,I,5.70,E,125.68%,43.68%,56.32%,-.49,"14,250",8.15%,,
,,124.02%,59.33%,40.67%,.47,"2,365",<empty>,4.15,Z,4.30,B,11 APR 25,76,6.05,B,6.20,M,123.16%,40.65%,59.35%,-.53,"4,098",8.77%,,
,,121.35%,62.37%,37.63%,.44,"2,182",<empty>,3.65,M,3.80,M,11 APR 25,77,6.60,B,6.70,B,121.11%,37.62%,62.38%,-.56,"3,050",9.45%,,
,,119.13%,65.40%,34.60%,.41,"2,585",<empty>,3.20,B,3.35,B,11 APR 25,78,7.15,B,7.25,B,118.91%,34.58%,65.42%,-.59,"3,707",10.17%,,
,,117.12%,68.39%,31.61%,.38,"2,213",<empty>,2.82,Q,2.91,Z,11 APR 25,79,7.75,B,7.85,B,117.17%,31.62%,68.38%,-.62,"1,353",10.96%,,
,,114.53%,71.40%,28.60%,.34,"11,961",<empty>,2.39,X,2.54,B,11 APR 25,80,8.30,M,8.50,M,114.61%,28.61%,71.39%,-.66,"6,600",11.73%,,
,,112.54%,74.28%,25.72%,.31,"20,333",<empty>,2.06,E,2.18,Z,11 APR 25,81,8.95,S,9.25,M,113.90%,25.91%,74.09%,-.69,503,12.66%,,
,,110.93%,77.00%,23.00%,.28,"4,017",<empty>,1.78,P,1.86,Z,11 APR 25,82,9.65,B,9.95,B,112.40%,23.23%,76.77%,-.72,896,13.57%,,
,,108.88%,79.68%,20.32%,.25,"5,250",<empty>,1.50,E,1.57,Z,11 APR 25,83,10.35,M,10.60,S,109.27%,20.39%,79.61%,-.75,945,14.44%,,
,,107.31%,82.14%,17.86%,.22,"3,688",<empty>,1.26,B,1.33,Z,11 APR 25,84,11.15,E,11.40,M,109.10%,18.19%,81.81%,-.77,"1,087",15.50%,,
,,105.83%,84.43%,15.57%,.19,"9,288",<empty>,1.06,B,1.11,Z,11 APR 25,85,11.95,M,12.10,B,106.46%,15.69%,84.31%,-.80,"2,552",16.48%,,
,,104.54%,86.51%,13.49%,.17,"6,949",<empty>,.89,M,.92,Z,11 APR 25,86,12.75,B,13.05,M,107.44%,14.05%,85.95%,-.82,590,17.65%,,
,,103.54%,88.37%,11.63%,.15,"2,537",<empty>,.74,B,.77,Z,11 APR 25,87,13.50,B,13.90,S,104.84%,11.89%,88.11%,-.84,571,18.69%,,
,,102.78%,90.00%,10.00%,.13,"3,868",<empty>,.62,B,.64,Q,11 APR 25,88,14.40,E,14.85,S,106.74%,10.76%,89.24%,-.86,256,19.93%,,
,,102.43%,91.39%,8.61%,.11,"2,643",<empty>,.52,D,.54,Z,11 APR 25,89,15.35,B,15.75,B,108.32%,9.70%,90.30%,-.87,127,21.17%,,
,,101.86%,92.66%,7.34%,.10,"8,677",<empty>,.43,T,.45,Z,11 APR 25,90,16.15,N,16.60,B,104.41%,7.79%,92.21%,-.89,"1,028",22.24%,,
,,101.75%,93.71%,6.29%,.08,"1,272",<empty>,.36,D,.38,Z,11 APR 25,91,17.05,P,17.60,P,106.41%,7.08%,92.92%,-.89,132,23.52%,,
,,101.62%,94.63%,5.37%,.07,"20,626",<empty>,.30,S,.32,Z,11 APR 25,92,18.05,B,18.55,P,109.70%,6.65%,93.35%,-.90,110,24.83%,,
,,102.01%,95.36%,4.64%,.06,742,<empty>,.26,N,.27,U,11 APR 25,93,19.00,B,19.50,B,111.42%,6.04%,93.96%,-.90,76,26.10%,,
,,102.24%,96.02%,3.98%,.05,"2,983",<empty>,.22,U,.23,U,11 APR 25,94,18.15,X,21.10,B,--,0.00%,100.00%,-1.00,29,26.39%,,
,,102.42%,96.60%,3.40%,.05,"2,388",<empty>,.18,M,.20,M,11 APR 25,95,20.85,B,21.45,B,114.48%,4.96%,95.04%,-.91,91,28.64%,,
,,104.25%,96.91%,3.09%,.04,585,<empty>,.16,E,.19,B,11 APR 25,96,20.10,X,23.50,Z,--,0.00%,100.00%,-1.00,39,29.38%,,
,,103.42%,97.46%,2.54%,.04,648,<empty>,.13,X,.15,U,11 APR 25,97,21.25,N,24.45,J,--,0.00%,100.00%,-1.00,24,30.82%,,
,,104.59%,97.75%,2.25%,.03,860,<empty>,.11,M,.14,B,11 APR 25,98,22.20,X,25.00,C,--,0.00%,100.00%,-1.00,121,31.72%,,
,,107.65%,97.83%,2.17%,.03,251,<empty>,.10,M,.15,S,11 APR 25,99,23.05,Q,26.45,Z,--,0.00%,100.00%,-1.00,8,33.33%,,
,,107.65%,98.16%,1.84%,.03,"1,890",<empty>,.10,Q,.11,A,11 APR 25,100,25.10,E,27.00,B,131.68%,4.13%,95.87%,-.90,66,35.23%,,
,,115.06%,97.86%,2.14%,.03,346,<empty>,.06,M,.21,Z,11 APR 25,101,26.00,I,28.00,Z,0.00%,0.00%,100.00%,-1.00,11,36.49%,,
,,108.94%,98.59%,1.41%,.02,291,<empty>,.07,D,.09,U,11 APR 25,102,26.95,B,28.85,I,--,0.00%,100.00%,-1.00,13,37.65%,,
,,109.59%,98.77%,1.23%,.02,"1,037",<empty>,.06,D,.08,S,11 APR 25,103,27.40,B,30.00,Q,--,0.00%,100.00%,-1.00,1,38.63%,,
