index,sentence,context,regex_matches,fuzzy_matches,semantic_matches,cluster_label,match_category
1357,I,54 I so  as  he  was  able  to  add)  lobe  before  the  Great  Schoolmaster's.,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
1389,I,56 I I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,1,"physical, role"
1390,I,"I I raised  the  rains  have  levelled  but  we  hear  the  pointers  and  can 
gauge  their  compass  for  the  melos  yields  the  mode  and  the  mode 
the  manners  plicyman,  plansiman,  plousiman,  plab.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,11,"physical, role"
1452,I,"58 I deny  padouasoys,  girdle  and  braces  by  the  Halfmoon  and  Seven 
Stars,  russets  from  the  Blackamoor's  Head,  amongst  the  climbing 
boys  at  his  Eagle  and  Child  and  over  the  corn  and  hay  emptors 
at  their  Black  and  All  Black,  Mrs  F  .",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
1509,I,"60 I scenities,  una  mona.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,0,"physical, role"
1543,I,62 I I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,10,"physical, role"
1544,I,I I I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,11,"physical, role"
1545,I,I I i,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
1546,i,I i i,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,9,"physical, role"
1547,i,"i i ing  in  a  bytheway  that  he,  the  crawsopper,  had,  in  edition  to 
Reade's  cutless  centiblade,  a  loaded  Hobson's  which  left  only  twin 
alternatives  as,  viceversa,  either  he  would  surely  shoot  her,  the 
aunt,  by  pistol,  (she  could  be  okaysure  of  that!)",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
1550,"But  how  <mark>trans</mark>- 
paringly  nontrue,  gentlewriter!","or,  failing  of  such, 
bash  in  Patch's  blank  face  beyond  recognition,  pointedly  asked 
with  gaeilish  gall  wodkar  blizzard's  business  Thornton  had  with 
that  Kane's  fender  only  to  be  answered  by  the  aggravated 
assaulted  that  that  that  was  the  snaps  for  him,  Midweeks,  to  sultry 
well  go  and  find  out  if  he  was  showery  well  able. But  how  trans- 
paringly  nontrue,  gentlewriter! His  feet  one  is  not  a  tall  man,  not 
at  all,  man.",trans,,,2,general
1626,i,"\ i boleros  one  games  with  at  the  Nivynubies'  finery  ball  and  your 
upright  grooms  that  always  come  right  up  with  you  (and  by  jingo 
when  they  do!)",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,3,"physical, role"
1672,i,"68 i not,  has  been  the  expression,  direct  or  through  an  agent  male,  of 
womanhid  offended,  (ah!",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,5,"physical, role"
1698,I,"70 I ing  although  whitening  under  restraint  in  the  sititout  corner  of 
his  conservatory,  behind  faminebuilt  walls,  his  thermos  flask  and 
ripidian  flabel  by  his  side  and  a  walrus  whiskerbristle  for  a  tusk- 
pick,  compiled,  while  he  mourned  the  flight  of  his  wild  guineese, 
a  long  list  (now  feared  in  part  lost)  to  be  kept  on  file  of  all  abusive 
names  he  was  called  (we  have  been  compelled  for  the  rejoicement 
of  foinne  loidies  ind  the  humours  of  Milltown  etcetera  by  Joseph- 
ine Brewster  in  the  collision  known  as  Contrastations  with  Inker- 
mann  and  so  on  and  sononward,  lacies  in  loo  water,  flee,  celestials, 
one  clean  turv):",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,10,"physical, role"
1777,"additional  useful  councils  public  with  hoofd  off- 
dealings  which  were  welholden  of  ladykants  te  huur  out  such  as  the 
Breeders'  Union,  the  Guild  of  Merchants  of  the  Staple  et,  a.u.c.","carefully  lined  the  ferroconcrete  result  with  rotproof  bricks  and 
mortar,  fassed  to  fossed,  and  retired  beneath  the  heptarchy  of 
his  towerettes,  the  beauchamp,  byward,  bull  and  lion,  the  white, 
the  wardrobe  and  bloodied,  so  encouraging  (insteppen,  alls  als 
hats  beliefd!) additional  useful  councils  public  with  hoofd  off- 
dealings  which  were  welholden  of  ladykants  te  huur  out  such  as  the 
Breeders'  Union,  the  Guild  of  Merchants  of  the  Staple  et,  a.u.c. to 
present  unto  him  with  funebral  pomp,  over  and  above  that,  a  stone 
slab  with  the  usual  Mac  Pelah  address  of  velediction,  a  very  fair- 
worded  instance  of  falsemeaning  adamelegy:",,ladyman(86),,2,role
1795,I,"78 I took  the  ham  of,  the  plain  being  involved  in  darkness,  low  cirque 
waggery,  nay,  even  the  first  old  wugger  of  himself  in  the  flesh, 
whiggissimus  incarnadined,  when  falsesighted  by  the  ifsuchhewas 
bully  on  the  hill  for  there  had  circulated  freely  fairly  among  his 
opposition  the  feeling  that  in  so  hibernating  Massa  Ewacka,  who, 
previous  to  that  demidetached  life,  had  been  known  of  barmi- 
cidal  days,  cook  said,  between  soups  and  savours,  to  get  outside 
his  own  length  of  rainbow  trout  and  taerts  atta  tarn  as  no  man 
of  woman  born,  nay  could,  like  the  great  crested  brebe,  devour 
his  threescoreten  of  roach  per  lifeday,  ay,  and  as  many  minnow  a 
minute  (the  big  mix,  may  Gibbet  choke  him!)",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,9,"physical, role"
1857,f,"<2. f L  ^'  to  one  and  oppositely  from  the  other  on  its  law  of  capture  and 
^  t/^  recapture),  under  the  All  In  rules  around  the  booksafe,  fighting 
like  purple  top  and  tipperuhry  Swede,  (Secremented  Servious  of 
the  Divine  Zeal !)",,change of sex(100),,3,physical
1905,I,86 I i',,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,5,"physical, role"
1955,I,"jl 
i I place.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
2227,a  hundred  of  <mark><mark>manhood</mark></mark>  and  a  wimmering  of  weibes.,"97 a  hundred  of  manhood  and  a  wimmering  of  weibes. Big  went 
the  bang:  then  wildewide  was  quiet:  a  report:  silence:  last  Fama 
put  it  under  ether.",manhood,manhood(100),,2,"general, physical"
2253,I,4 I bird!,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,11,"physical, role"
2373,i,1 06 i I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
2374,I,"i I i 
I",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,5,"physical, role"
2376,I,"i 
I I I.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,5,"physical, role"
2379,i,] i U  ^  dx  ^,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,0,"physical, role"
2438,I,\ I ■,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,3,"physical, role"
2689,m,130 m life;,,gender reassignment(100); become a woman(100); become a man(100); born a woman(100); born a man(100); hermaphrodite(100); manhood(100); womanhood(100); dressed as a man(100); dressed as a woman(100); ladyman(100); mannish(100); woman-man(100); man-woman(100); ambiguous gender(100),,3,"physical, role"
2793,I,142 I i,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,9,"physical, role"
2794,i,I i I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,0,"physical, role"
2795,I,"i I hose  hol'd  home,  yeth  cometh  elope  year,  coach  and  four.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,3,"physical, role"
3087,"And  you,  Bruno  Nowlan,  take  your  tongue  out  of  your  inkpot  1 
As  none  of  you  knows  javanese  I  will  give  all  my  easyfree  <mark>trans</mark>- 
lation of  the  old  fabulist's  parable.","Imagine  for  my  purpose  that  you  are  a 
squad  of  urchins,  snifflynosed,  goslingnecked,  clothyheaded, 
tangled  in  your  lacings,  tingled  in  your  pants,  etsitaraw  etcicero. And  you,  Bruno  Nowlan,  take  your  tongue  out  of  your  inkpot  1 
As  none  of  you  knows  javanese  I  will  give  all  my  easyfree  trans- 
lation of  the  old  fabulist's  parable. Allaboy  Minor,  take  your 
head  out  of  your  satchel!",trans,,,2,general
3099,I,152 I 1,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,11,"physical, role"
3264,i,"IS8 i shieling,  it  is,  De  Rore  Coeli.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,3,"physical, role"
3470,I,170 I I,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,0,"physical, role"
3471,I,I I swamp  of  bogoakgravy  for  that  greekenhearted  yude!,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,6,"physical, role"
3607,r,"oia\ r board  (trying  to  copy  the  stage  Englesemen  he  broughts  their 
house  down  on,  shouting:",,transsexual(100); gender reassignment(100); born a woman(100); born a man(100); hermaphrodite(100); intersex(100); cross-dress(100); cross dressing(100); dressed as a man(100); dressed as a woman(100); boy-girl(100); two-spirit(100); androgyny(100); androgynous(100); genderless(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,3,"physical, role"
3665,"continuous  present  tense  integument  slowly  unfolded  all  marry- 
voising  moodmoulded  cyclewheeling  history  (thereby,  he  said, 
reflecting  from  his  own  individual  person  life  unlivable,  <mark>trans</mark>- 
accidentated  through  the  slow  fires  of  consciousness  into  a  divi- 
dual chaos,  perilous,  potent,  common  to  allflesh,  human  only, 
mortal)  but  with  each  word  that  would  not  pass  away  the  squid- 
self  which  he  had  squirtscreened  from  the  crystalline  world 
waned  chagreenold  and  doriangrayer  in  its  dudhud.","185 continuous  present  tense  integument  slowly  unfolded  all  marry- 
voising  moodmoulded  cyclewheeling  history  (thereby,  he  said, 
reflecting  from  his  own  individual  person  life  unlivable,  trans- 
accidentated  through  the  slow  fires  of  consciousness  into  a  divi- 
dual chaos,  perilous,  potent,  common  to  allflesh,  human  only, 
mortal)  but  with  each  word  that  would  not  pass  away  the  squid- 
self  which  he  had  squirtscreened  from  the  crystalline  world 
waned  chagreenold  and  doriangrayer  in  its  dudhud. This  exists 
that  isits  after  having  been  said  we  know.",trans,,,2,general
3817,I,"194 I slipping  sly  by  Sallynoggin,  as  happy  as  the  day  is  wet,  bab- 
bling, bubbling,  chattering  to  herself,  deloothering  the  fields  on 
their  elbows  leaning  with  the  sloothering  slide  of  her,  giddy- 
gaddy,  grannyma,  gossipaceous  Anna  Livia.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,3,"physical, role"
3823,o,"195 o tell  me  all  about 
Anna  Li  via!",,change of sex(100); become a woman(100); become a man(100); born a woman(100); born a man(100); hermaphrodite(100); manhood(100); womanhood(100); both sexes(100); cross-dress(100); cross dressing(100); dressed as a woman(100); woman-man(100); man-woman(100); boy-girl(100); two-spirit(100); androgyny(100); androgynous(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100),,7,"physical, role"
4117,i,204 i L,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,1,"physical, role"
4118,L,"i L Through  her  catchment  ring  she  freed  them  easy,  with  her  hips* 
hurrahs  for  her  knees'dontelleries.",,transsexual(100); ladyman(100); boy-girl(100); genderless(100); sexless(100); switching roles(100); wearing the other's clothes(100),,1,"physical, role"
4152,And,"This 
is  the  Hausman  all  paven  and  stoned,  that  cribbed  the  Cabin  that 
never  was  owned  that  cocked  his  leg  and  hennad  his  Egg. And 205",,androgyny(100); androgynous(100),,3,role
4194,I,206 I grains  of  incense  anguille  bronze.,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,9,"physical, role"
4256,L,208 L II,,transsexual(100); ladyman(100); boy-girl(100); genderless(100); sexless(100); switching roles(100); wearing the other's clothes(100),,11,"physical, role"
4442,r,'i r them.,,transsexual(100); gender reassignment(100); born a woman(100); born a man(100); hermaphrodite(100); intersex(100); cross-dress(100); cross dressing(100); dressed as a man(100); dressed as a woman(100); boy-girl(100); two-spirit(100); androgyny(100); androgynous(100); genderless(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,3,"physical, role"
4516,L,"II L Every  evening  at  lighting  up  o'clock  sharp  and  until  further 
notice  in  Feenichts  Playhouse.",,transsexual(100); ladyman(100); boy-girl(100); genderless(100); sexless(100); switching roles(100); wearing the other's clothes(100),,3,"physical, role"
4547,r,"Time:  the  pressant. r With  futurist  onehorse  balletbattle  pictures  and  the  Pageant 
of  Past  History  worked  up  with  animal  variations  amid  ever-  t-^^ 
glaning  mangrovemazes  and  beorbtracktors  by  Messrs  Thud  and 
Blunder.",,transsexual(100); gender reassignment(100); born a woman(100); born a man(100); hermaphrodite(100); intersex(100); cross-dress(100); cross dressing(100); dressed as a man(100); dressed as a woman(100); boy-girl(100); two-spirit(100); androgyny(100); androgynous(100); genderless(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,1,"physical, role"
4684,L,"■ L is  a  little  tittertit  of  hilarity  (Lad-o'-me-soul  I  Lad-o'-me-soul, 
see!)",,transsexual(100); ladyman(100); boy-girl(100); genderless(100); sexless(100); switching roles(100); wearing the other's clothes(100),,3,"physical, role"
4843,r,1 r yord!,,transsexual(100); gender reassignment(100); born a woman(100); born a man(100); hermaphrodite(100); intersex(100); cross-dress(100); cross dressing(100); dressed as a man(100); dressed as a woman(100); boy-girl(100); two-spirit(100); androgyny(100); androgynous(100); genderless(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,3,"physical, role"
4975,I,) I ii,,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,0,"physical, role"
4978,i,"j i and  if  he  hadn't  got  it  toothick  he'd  a  telltale  tall  of  his  pitcher 
on  a  wall  with  his  photure  in  the  papers  for  cutting  moutonlegs 
and  capers,  letting  on  he'd  jest  be  japers  and  his  tail  cooked  up.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,7,"physical, role"
5043,I,"234 I their  salat,  the  madiens'  prayer  to  the  messiager  of  His  Nabis, 
prostitating  their  selfs  eachwise  and  combinedly.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,9,"physical, role"
5280,I,"242 I come  into  the  pictures  more  as  hundreads  elskerelks'  yahrds  of 
annams  call  away,  factory  fresh  and  fiuming  at  the  mouth,  wronged 
by  Hwemwednoget  (magrathmagreeth,  he  takable  a  rap  for  that 
early  party)  and  whenceforward  Ani  Mama  and  her  fiertey 
bustles  terrified  of  gmere  gnomes  of  gmountains  and  furibound 
to  be  back  in  her  mytinbeddy?",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,11,"physical, role"
5687,I,"252 I in  Peruvian  for  in  the  ersebest  idiom  I  have  done  it  equals  I  so 
shall  do.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,9,"physical, role"
5993,"A  phantom  city,  phaked  of  philim 
pholk,  bowed  and  sould  for  a  four  of  hundreds 
of  <mark><mark>manhood</mark></mark>  in  their  three  and  threescore 
fylkers  for  a  price  partitional  of  twenty  six  and 
six.","In  these  places  sojournemus,  where  Eblinn 
water,  leased  of  carr  and  fen,  leaving  amont  her 
shoals  and  salmen  browses,  whom  inshore 
breezes  woo  with  freshets,  windeth  to  her 
broads. A  phantom  city,  phaked  of  philim 
pholk,  bowed  and  sould  for  a  four  of  hundreds 
of  manhood  in  their  three  and  threescore 
fylkers  for  a  price  partitional  of  twenty  six  and 
six. By  this  riverside,  on  our  sunnybank,^  how 
buona  the  vista,  by  Santa  Rosa!",manhood,manhood(100),,2,"general, physical"
6056,I,"266 I ere  was  a 
hopeful 
ulled  Cis.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,7,"physical, role"
6109,I,"268 I knowledge  that  often  hate  on  first  hearing 
comes  of  love  by  second  sight.",,changing sex(100); gender reassignment(100); hermaphrodite(100); intersex(100); cross dressing(100); mannish(100); boy-girl(100); two-spirit(100); ambiguous gender(100); switching roles(100); wearing the other's clothes(100); gender identity(100),,3,"physical, role"
6118,Is,"Jeg  suis,  vos 
JJndante  wore  a  gentleman,  thou  arr,  I  am  a  quean. Is mnoroso,  a  game  over?",,mannish(100),,3,role
6162,L,"i 
I L Monastir, 
Leninstar  and 
Connecticut.",,transsexual(100); ladyman(100); boy-girl(100); genderless(100); sexless(100); switching roles(100); wearing the other's clothes(100),,3,"physical, role"
